"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","02.01.2022 11:00 - 02.01.2022 11:15 (UTC)","5790","6490","27996"
"Germany (DE)","02.01.2022 11:15 - 02.01.2022 11:30 (UTC)","5588","6620","28331"
"Germany (DE)","02.01.2022 11:30 - 02.01.2022 11:45 (UTC)","5242","6308","28840"
"Germany (DE)","02.01.2022 11:45 - 02.01.2022 12:00 (UTC)","4921","5898","29984"
"Germany (DE)","02.01.2022 12:00 - 02.01.2022 12:15 (UTC)","4547","5821","29740"
"Germany (DE)","02.01.2022 12:15 - 02.01.2022 12:30 (UTC)","4259","6017","30265"
"Germany (DE)","02.01.2022 12:30 - 02.01.2022 12:45 (UTC)","3891","6050","30781"
"Germany (DE)","02.01.2022 12:45 - 02.01.2022 13:00 (UTC)","3702","6037","30628"
"Germany (DE)","02.01.2022 13:00 - 02.01.2022 13:15 (UTC)","3423","5969","31161"
"Germany (DE)","02.01.2022 13:15 - 02.01.2022 13:30 (UTC)","3094","5613","32050"
"Germany (DE)","02.01.2022 13:30 - 02.01.2022 13:45 (UTC)","2664","5510","32246"
"Germany (DE)","02.01.2022 13:45 - 02.01.2022 14:00 (UTC)","2221","5630","31921"
"Germany (DE)","02.01.2022 14:00 - 02.01.2022 14:15 (UTC)","1787","5634","32684"
"Germany (DE)","02.01.2022 14:15 - 02.01.2022 14:30 (UTC)","1355","5718","32936"
"Germany (DE)","02.01.2022 14:30 - 02.01.2022 14:45 (UTC)","905","5865","33950"
"Germany (DE)","02.01.2022 14:45 - 02.01.2022 15:00 (UTC)","509","6093","33397"
"Germany (DE)","02.01.2022 15:00 - 02.01.2022 15:15 (UTC)","202","6317","33409"
"Germany (DE)","02.01.2022 15:15 - 02.01.2022 15:30 (UTC)","47","6284","33588"
"Germany (DE)","02.01.2022 15:30 - 02.01.2022 15:45 (UTC)","4","6246","34675"
"Germany (DE)","02.01.2022 15:45 - 02.01.2022 16:00 (UTC)","1","6365","35419"
"Germany (DE)","02.01.2022 16:00 - 02.01.2022 16:15 (UTC)","0","6363","35396"
"Germany (DE)","02.01.2022 16:15 - 02.01.2022 16:30 (UTC)","0","6299","35449"
"Germany (DE)","02.01.2022 16:30 - 02.01.2022 16:45 (UTC)","0","6330","35779"
"Germany (DE)","02.01.2022 16:45 - 02.01.2022 17:00 (UTC)","0","6453","35472"
"Germany (DE)","02.01.2022 17:00 - 02.01.2022 17:15 (UTC)","0","6466","35971"
"Germany (DE)","02.01.2022 17:15 - 02.01.2022 17:30 (UTC)","0","6567","36195"
"Germany (DE)","02.01.2022 17:30 - 02.01.2022 17:45 (UTC)","0","6573","35959"
"Germany (DE)","02.01.2022 17:45 - 02.01.2022 18:00 (UTC)","0","6551","35500"
